Train MetricGAN+-pesq
Train set:11572, Valid set:0, Test set:824
Model parameters:1.896M
Train MetricGAN+-pesq
Train set:11572, Valid set:0, Test set:824
Model parameters:1.896M
Epoch:600 | Test PESQ:3.034 | Test CSIG:4.135 | Test CBAK:3.046 | Test COVL:3.578
Epoch:601 | Test PESQ:3.051 | Test CSIG:4.174 | Test CBAK:3.097 | Test COVL:3.609
Epoch:602 | Test PESQ:3.089 | Test CSIG:4.169 | Test CBAK:3.074 | Test COVL:3.626
Epoch:603 | Test PESQ:3.044 | Test CSIG:4.168 | Test CBAK:3.070 | Test COVL:3.602
Epoch:604 | Test PESQ:3.040 | Test CSIG:4.156 | Test CBAK:3.100 | Test COVL:3.594
Epoch:605 | Test PESQ:3.093 | Test CSIG:4.165 | Test CBAK:3.086 | Test COVL:3.625
Epoch:606 | Test PESQ:3.083 | Test CSIG:4.155 | Test CBAK:3.106 | Test COVL:3.613
Epoch:607 | Test PESQ:3.097 | Test CSIG:4.149 | Test CBAK:3.097 | Test COVL:3.619
Epoch:608 | Test PESQ:3.069 | Test CSIG:4.154 | Test CBAK:3.087 | Test COVL:3.606
Epoch:609 | Test PESQ:3.085 | Test CSIG:4.124 | Test CBAK:3.075 | Test COVL:3.595
Epoch:610 | Test PESQ:3.096 | Test CSIG:4.130 | Test CBAK:3.089 | Test COVL:3.604
Epoch:611 | Test PESQ:3.044 | Test CSIG:4.134 | Test CBAK:3.060 | Test COVL:3.581
Epoch:612 | Test PESQ:3.044 | Test CSIG:4.155 | Test CBAK:3.050 | Test COVL:3.593
Epoch:613 | Test PESQ:3.033 | Test CSIG:4.142 | Test CBAK:3.095 | Test COVL:3.581
Epoch:614 | Test PESQ:3.073 | Test CSIG:4.142 | Test CBAK:3.062 | Test COVL:3.601
Epoch:615 | Test PESQ:3.059 | Test CSIG:4.143 | Test CBAK:3.023 | Test COVL:3.594
Epoch:616 | Test PESQ:3.049 | Test CSIG:4.132 | Test CBAK:3.000 | Test COVL:3.582
Epoch:617 | Test PESQ:3.066 | Test CSIG:4.145 | Test CBAK:3.080 | Test COVL:3.598
Epoch:618 | Test PESQ:3.086 | Test CSIG:4.162 | Test CBAK:3.110 | Test COVL:3.620
Epoch:619 | Test PESQ:3.081 | Test CSIG:4.147 | Test CBAK:3.104 | Test COVL:3.607
Epoch:620 | Test PESQ:3.038 | Test CSIG:4.133 | Test CBAK:3.014 | Test COVL:3.578
Epoch:621 | Test PESQ:3.044 | Test CSIG:4.112 | Test CBAK:3.063 | Test COVL:3.568
Epoch:622 | Test PESQ:3.074 | Test CSIG:4.145 | Test CBAK:3.113 | Test COVL:3.602
Epoch:623 | Test PESQ:3.022 | Test CSIG:4.091 | Test CBAK:3.062 | Test COVL:3.547
Epoch:624 | Test PESQ:3.030 | Test CSIG:4.138 | Test CBAK:3.053 | Test COVL:3.576
Epoch:625 | Test PESQ:3.138 | Test CSIG:4.164 | Test CBAK:3.117 | Test COVL:3.645
Epoch:626 | Test PESQ:3.122 | Test CSIG:4.159 | Test CBAK:3.074 | Test COVL:3.635
Epoch:627 | Test PESQ:3.044 | Test CSIG:4.156 | Test CBAK:3.121 | Test COVL:3.597
Epoch:628 | Test PESQ:3.065 | Test CSIG:4.173 | Test CBAK:3.087 | Test COVL:3.615
Epoch:629 | Test PESQ:3.063 | Test CSIG:4.152 | Test CBAK:3.044 | Test COVL:3.601
Epoch:630 | Test PESQ:3.084 | Test CSIG:4.153 | Test CBAK:3.080 | Test COVL:3.612
Epoch:631 | Test PESQ:3.071 | Test CSIG:4.150 | Test CBAK:3.063 | Test COVL:3.604
Epoch:632 | Test PESQ:3.083 | Test CSIG:4.148 | Test CBAK:3.058 | Test COVL:3.609
Epoch:633 | Test PESQ:2.987 | Test CSIG:4.101 | Test CBAK:3.049 | Test COVL:3.536
Epoch:634 | Test PESQ:3.004 | Test CSIG:4.145 | Test CBAK:3.051 | Test COVL:3.569
Epoch:635 | Test PESQ:3.022 | Test CSIG:4.118 | Test CBAK:3.020 | Test COVL:3.562
Epoch:636 | Test PESQ:3.053 | Test CSIG:4.153 | Test CBAK:3.101 | Test COVL:3.596
Epoch:637 | Test PESQ:3.090 | Test CSIG:4.162 | Test CBAK:3.070 | Test COVL:3.619
